# 時流さん独断
母	かあ
父	とう
兄	にい
姉	ねえ


# 新潮日本語漢字辞典
葦	よし
意	こころ
為	し
逸	イチ
鰻	うな
影	ヨウ
延	は.える
温	ウン
温	ぬる.い
科	とが
禍	まが
禾	のぎ
蝦	シャ
塊	くれ
悔	ケ
柿	こけら
萱	カン
乾	から
冠	かむり
幹	から
患	ゲン
柑	コウ
漢	から
緩	ぬる.い
還	ゲン
漁	いさ.る
峡	かい
曲	くせ
琴	ゴン
屈	こご.む
薫	た.く
経	キン
警	キョウ
軽	キン
迎	ゴウ
限	きり
向	キョウ
孔	ク
惚	とぼ.ける
惚	と.れる
差	シ
座	ソ
催	もよ.い
脂	やに
詞	ことば
持	チ
時	シ
借	シャ
縦	ショウ
祝	ほ.ぐ
処	と
所	と
所	ソ
粧	ソウ
城	セイ
辱	ニク
神	み
清	すず.しい
積	シャク
責	シャク
折	シャク
節	よ
繊	チン
選	よ.る
前	セン
岨	そわ
曾	ひい
曾	ひ
僧	ス
打	チョウ
退	すさ.る
卓	シツ
端	はした
地	つち
竹	シツ
柱	じ
直	ひた
帝	タイ
摘	つま.む
鉄	かね
鉄	かな
途	ズ
灯	ドン
灯	チン
頭	チュウ
童	わらわ
曇	タン
鈍	にび
入	しお
入	ニッ
葱	き
猫	ミョウ
破	わ.る
売	マイ
秤	ヒョウ
迫	せ.る
判	ホウ
半	なか.ら
飯	まま
彼	あれ
敏	さと.い
布	め
浮	うわ.つく
風	ふり
糞	ばば
紛	まが.う
辺	ほとり
補	フ
泡	あぶく
麻	お
妹	いも
末	うら
薬	くす
遊	すさ.ぶ
和	あ.える
叭	ハ
囃	はや.す
媽	マ
尨	むく
蘖	ケツ
毬	かさ
洟	はな
焙	ホイ
熾	お.きる
盧	ル
穢	きたな.い
糯	もち
縊	くく.る
耄	ほ.れる
舐	なめず.る
袱	ポク
誑	たら.す
諷	フ
蹠	ショ
迸	ヘイ
鉉	つる


# 新漢語林
舎	や
烙	ロク


# 日本国語大辞典
校	あぜ
座	くら
処	か
梯	はし


# とみー独断
眼	まな-
幸	さい-
皇	-ノウ
今	コ-
砂	さご
酸	すい-
人	-うと
人	-うど
人	-んど
人	-っと
雀	-から
素	しろ
素	しら-
薬	ヤ-
郎	いらつ-


# 熟字訓
悪戯	いたずら
悪阻	つわり
安穏	あん|のん
案山子	かかし
伊達	だて
為替	かわせ
移徙	わたまし
衣被ぎ	きぬ|かつ|ぎ
亥子	いの|こ
郁子	むべ
磯蚯蚓	いそめ
一昨昨日	さきおととい
一昨々日	さきおととい
一昨昨年	さきおととし
一昨々年	さきおととし
一昨日	おととい
一昨年	おととし
一寸	ちょっと
稲架	はさ
稲荷	いな|り
稲熱	いもち
芋茎	ずいき
飲茶	ヤム|チャ
烏賊	いか
烏帽子	え|ぼ|し
云々	うん|ぬん
雲脂	ふけ
雲雀	ひばり
雲丹	う|に
雲母	きらら
嬰児	みどり|ご
永久	とわ
益荒	ます|ら
遠近	おち|こち
鴛鴦	おし
鴛鴦	おしどり
塩梅	あん|ばい
王蟲	オー|ム
黄昏	たそがれ
黄泉	よみ
黄櫨	はぜ
黄櫨	はぜのき
黄楊	つげ
黄蘗	き|はだ
黄蜀葵	とろろ||あおい
億劫	おっ|くう
牡蠣	かき
下枝	しず|え
下手	へた
下種	げ|す
仮令	たとえ
何故	なぜ
何時	いつ
何処	いずこ
何処	どこ
何方	どなた
可哀想	か|わい|そう
可愛い	か|わい|い
可愛らしい	か|わい|ら|し|い
可笑しい	おか||し|い
夏越	な|ごし
家鴨	あひる
果物	くだ|もの
河岸	か|し
河原	かわら
河合	かわい
河童	かっぱ
火燵	こ|たつ
花弁	はな|びら
花梨	か|りん
苛立ち	いら|だ|ち
苛立つ	いら|だ|つ
茄|子	なす
華奢	きゃ|しゃ
蚊|帳	かや
怪訝	け|げん
晦日	みそ|か
海月	くらげ
海参	いりこ
海女	あま
海鞘	ほや
海神	わたつみ
海人草	まくり
海星	ひとで
海鼠	こ
海鼠	なまこ
海苔	のり
海豚	いるか
海髪	うご
海豹	あざらし
海布	め
海老	えび
海驢	あしか
灰汁	あく
芥子	から|し
垣間見	かい|ま|み
垣間見る	かい|ま|み|る
角髪	みずら
割賦	わっ|ぷ
葛籠	つづら
蒲公英	たんぽぽ
茅花	つ|ばな
冠木	かぶ|き
干支	えと
干涸びる	ひ|から|び|る
汗疹	あせ|も
玩具	おもちゃ
眼間	まな|かい
眼鏡	め|がね
岩魚	いわ|な
寄席	よ|せ
幾許	いく|ばく
幾許	ここだ
気質	かたぎ
気紛れ	き|まぐ|れ
貴方	あなた
亀甲	きっ|こう
妓夫	ぎゅう
逆上せ	のぼ||せ
逆上せる	のぼ||せ|る
弓手	ゆん|で
弓勢	ゆん|ぜい
牛尾菜	しおで
牛膝	いのこずち
許嫁	いいなずけ
魚子	なな|こ
魚籠	びく
強請	ゆすり
強請り	ねだ||り
強請る	ねだ||る
蕎麦	そば
響動めき	どよ||め|き
響動めく	どよ||め|く
曲尺	かね|じゃく
曲尺	まがり|がね
玉蜀黍	とうもろこし
銀杏	いちょう
銀杏	ぎん|なん
九十九	つくも
狗尾草	えのころ||ぐさ
苦汁	にが|り
栗鼠	りす
群来	く|き
軍鶏	しゃも
景色	け|しき
経緯	いきさつ
鶏冠	とさか
欠伸	あくび
欠片	かけら
穴生	あの|う
月代	さかやき
健気	けな|げ
剣呑	けん|のん
堅磐	かきわ
検見	け|み
検非違使	け|び|い|し
玄翁	げん|のう
玄孫	やしゃご
現御神	あきつ|み|かみ
諺文	おん|もん
固唾	かた|ず
孤児	みなし|ご
胡瓜	きゅうり
胡座	あぐら
胡桃	くるみ
虎魚	おこぜ
虎杖	いたどり
五加	うこぎ
五月	さ|つき
五月雨	さみだれ
五倍子	ふし
吾妹	わぎも
吾亦紅	われ|も|こう
後朝	きぬぎぬ
御衣	み|けし
御手洗	み|た|らし
御髪	お|ぐし
交喙	いすか
公魚	わかさぎ
勾玉	まが|たま
口伝て	くち|づ|て
向日葵	ひまわり
垢離	こ|り
溝萩	みそはぎ
甲斐	か|い
甲冑	かっ|ちゅう
糠蝦	あみ
紅型	びん|がた
紅絹	もみ
紅葉	もみじ
荒磯	ありそ
行方	ゆく|え
行縢	むかばき
項垂れる	うな|だ|れ|る
香具師	やし
合歓	ねむ
合歓木	ねむの||き
国造	くにの|みやつこ
国府	こう
黒子	ほくろ
惚気	のろ|け
惚気る	のろ|け|る
此処	ここ
此方	こち
今朝	けさ
今日	きょう
紺屋	こう|や
沙魚	はぜ
沙蚕	ごかい
再従兄弟	はとこ
最中	さ|なか
采女	うね|め
斎宮	いつきの|みや
細魚	さより
細雪	ささめ|ゆき
細波	さざ|なみ
細螺	きさご
昨日	きのう
昨夜	ゆうべ
殺陣	たて
雑魚	ざこ
三位	さん|み
三一	さん|ぴん
三味	しゃ|み
山葵	わさび
山車	だし
山茶花	さざん||か
山羊	やぎ
散蒔き	ばら|ま|き
産土	うぶすな
酸塊	す|ぐり
酸漿	ほおずき
仕舞屋	し|もた|や
刺草	いら|くさ
師走	しわす
糸瓜	へちま
糸魚	いと|よ
紙魚	しみ
紙撚り	こ|よ|り
紫陽花	あじさい
詩歌	しい|か
慈姑	くわい
時雨	しぐれ
時雨れる	しぐ||れ|る
時鳥	ほととぎす
耳朶	みみ|たぶ
自惚れる	うぬ|ぼ|れ|る
鹿尾菜	ひじき
七夕	たなばた
湿気る	し|け|る
疾風	はやて
舎人	とねり
射干	しゃ|が
紗綾	さ|や
車前草	おおばこ
杓文字	しゃ|も|じ
弱竹	なよ|たけ
主計	かずえ
守宮	やもり
手弱女	た|おや|め
手水	ちょうず
手斧	ちょうな
手桎	て|かせ
朱欒	ざぼん
狩人	かりゅうど
秋刀魚	さんま
終日	ひねもす
終日	ひもすがら
醜男	ぶ|おとこ
十姉妹	じゅう|し|まつ
十六夜	いざよい
従兄弟	いとこ
祝詞	のりと
縮緬	ちり|めん
熟鮨	なれ|ずし
出会す	で|くわ|す
出来す	で|か|す
春宮	とう|ぐう
所以	ゆえん
薯蕷	とろろ
女形	おやま
女将	おかみ
女郎花	おみなえし
女衒	ぜ|げん
小火	ぼや
小豆	あずき
小童	こ|わっぱ
小鰭	こ|はだ
小鉤	こ|はぜ
松明	たいまつ
松毬	まつ|ぼっくり
菖蒲	あやめ
醤蝦	あみ
障泥	あおり
上達部	かん|だち|め
常磐	ときわ
畳紙	たとう|がみ
埴生	はにゅう
尻高	しっ|たか
尻尾	しっ|ぽ
信天翁	あほうどり
寝刃	ねた|ば
心太	ところてん
心地	ここ|ち
新造	しん|ぞ
